user_id,segment,favorite_artist,total_listens,unique_artists,unique_tracks,active_days,avg_listens_per_day,artist_diversity,repeat_rate,night_share,weekend_share
user_000023,1,Akira Yamaoka,42010,229,2091,499,84.18837675350701,0.0054510830754582245,0.9502261366341347,0.0014282313734825041,0.3014044275172578
user_000026,0,Porcupine Tree,45308,610,4426,554,81.78339350180505,0.013463406021011742,0.9023130572967246,0.23693387481239517,0.26586916217886464
user_000027,1,3 Doors Down,3767,266,846,196,19.21938775510204,0.07061322006902045,0.7754181045925139,0.3055481815768516,0.3384656225112822
user_000028,1,Immortal Technique,13284,650,6727,532,24.969924812030076,0.04893104486600421,0.49360132490213793,0.003462812405901837,0.34093646492020474
user_000032,1,The Gathering,14076,416,1467,781,18.02304737516005,0.029553850525717535,0.8957800511508951,0.19558113100312588,0.32750781472009094
user_000038,1,Agonoize,14373,347,3785,497,28.919517102615693,0.02414248938982815,0.7366590134279551,0.34237806999234677,0.32261879913727126
user_000040,1,Saalschutz,18973,1226,4201,745,25.467114093959733,0.0646181415695989,0.7785800874927529,0.0039529858219575185,0.2578927950245085
user_000001,1,坂本龍一,16685,657,3143,622,26.824758842443728,0.03937668564578963,0.8116272100689241,0.054120467485765655,0.2729997003296374
user_000002,0,The Libertines,57438,1283,8542,908,63.257709251101325,0.02233712873010899,0.8512831226714022,0.16597026358856506,0.33408196664229256
user_000006,0,Apparat,29021,1686,7990,809,35.872682323856615,0.05809586161744943,0.724682126735812,0.0964474001585059,0.29847351917576925
user_000008,2,Kanye West,37235,157,620,118,315.5508474576271,0.004216463005237008,0.9833489995971532,0.3599838861286424,0.6931381764468914
user_000009,1,Marilyn Manson,5233,588,2624,386,13.55699481865285,0.11236384483088095,0.4985667876934836,0.34397095356392127,0.21440856105484427
user_000010,1,The Prodigy,6574,441,992,231,28.458874458874458,0.06708244599939155,0.8491025250988744,0.05765135381807119,0.26817766960754486
user_000016,1,Stereophonics,22172,1471,7532,491,45.15682281059063,0.06634493956341331,0.6602922605087498,0.011997113476456793,0.19786216850081184
user_000017,2,Pearl Jam,19646,2808,12743,431,45.582366589327144,0.14292985849536802,0.35136923546777965,0.16782042145983916,0.37631069937900846
user_000018,1,Radiohead,11714,165,1143,363,32.269972451790636,0.014085709407546526,0.9024244493768141,0.054550110978316545,0.29614136930169027
user_000020,1,Muse,4668,623,2032,188,24.829787234042552,0.13346186803770352,0.5646958011996572,0.0689802913453299,0.14395886889460155
user_000022,0,Decoration,51474,1904,5868,829,62.09167671893848,0.036989548121381666,0.8860006993822124,0.10541244123246687,0.4412907487275129
user_000025,0,The Strokes,39082,2168,12065,721,54.205270457697644,0.05547310782457397,0.6912901079780973,0.04864131825392764,0.29079883322245537
user_000031,2,Radiohead,36315,5002,19867,455,79.81318681318682,0.13773922621506265,0.4529257882417733,0.3379595208591491,0.2786451879388682
user_000033,0,Dir En Grey,96436,814,7276,891,108.2334455667789,0.00844083122485379,0.9245509975527811,0.2577357003608611,0.28261230245966235
user_000024,2,Band Of Horses,19196,1782,10593,281,68.31316725978648,0.09283183996665972,0.44816628464263386,0.291987914148781,0.32006668055844967
user_000034,1,Sufjan Stevens,19418,624,5319,450,43.15111111111111,0.03213513235142651,0.7260788958698114,0.02075393964362962,0.03713049747656813
user_000036,1,The Knife,4242,452,2297,223,19.022421524663677,0.10655351249410655,0.4585101367279585,0.45615275813295614,0.38213107024988213
user_000039,1,Funeral For A Friend,13999,289,1675,301,46.50830564784053,0.020644331737981286,0.8803485963283092,0.13029502107293378,0.24123151653689548
